
customerid,y_true,score_churn,y_pred_0p50,y_pred_0.338
4132-KALRO,0,0.8665373452636431,1,1
6400-BWQKW,1,0.8658367222568105,1,1
5293-WXJAK,1,0.8645910984654857,1,1
6856-RAURS,0,0.8645770257161469,1,1
0495-ZBNGW,1,0.8638262320069149,1,1
3091-FYHKI,1,0.8634875553122944,1,1
3106-ULWFW,1,0.8623173102580127,1,1
8861-HGGKB,1,0.8618685181433705,1,1
5196-SGOAK,1,0.8618455459674047,1,1
0018-NYROU,0,0.8611445309246607,1,1
8943-URTMR,1,0.8610641858621595,1,1
3871-IKPYH,1,0.8610092367033618,1,1
2568-BRGYX,1,0.8609407317280539,1,1
2485-ITVKB,1,0.8609153677458206,1,1
7005-CCBKV,1,0.859580147520119,1,1
9734-YWGEX,1,0.8587656856983226,1,1
2408-WITXK,1,0.8580215975539996,1,1
2737-YNGYW,1,0.8570043340374166,1,1
6877-TJMBR,1,0.8563765864116328,1,1
3746-EUBYR,1,0.8563463660921895,1,1
5701-YVSVF,0,0.8561079310838282,1,1
4274-OWWYO,1,0.8560948726175598,1,1
7206-PQBBZ,0,0.8558262566200314,1,1
2260-USTRB,1,0.8555500045341552,1,1
5339-PXDVH,0,0.8555332641359119,1,1
2013-SGDXK,1,0.8547848316835915,1,1
8111-RKSPX,1,0.8546293304859403,1,1
3957-LXOLK,1,0.8522846794338383,1,1
0411-EZJZE,0,0.851393366723662,1,1
0455-XFASS,0,0.8510547378162023,1,1
0680-DFNNY,1,0.8499455975906242,1,1
5956-YHHRX,0,0.8493558728410777,1,1
9253-QXKBE,1,0.8492691436108933,1,1
5119-NZPTV,0,0.8487644714914887,1,1
5673-FSSMF,1,0.8485849961362094,1,1
9094-AZPHK,0,0.8482380590588054,1,1
6956-SMUCM,1,0.8482331717143178,1,1
8290-YWKHZ,1,0.848023770824246,1,1
3223-DWFIO,0,0.8477549625608259,1,1
1196-AMORA,1,0.8470113832371804,1,1
3049-NDXFL,1,0.8463113555352298,1,1
8875-AKBYH,0,0.846307131691672,1,1
5405-ZMYXQ,0,0.8462358412960481,1,1
7912-SYRQT,1,0.8459097942897349,1,1
4299-SIMNS,0,0.8444015265796044,1,1
5027-QPKTE,1,0.8431098312835096,1,1
5923-GXUOC,1,0.8415233168283945,1,1
1078-TDCRN,0,0.8410561717142715,1,1
8270-RKSAP,0,0.8392427919734021,1,1
8734-DKSTZ,0,0.8388148272567615,1,1
8118-LSUEL,1,0.8383125365760512,1,1
5760-IFJOZ,0,0.8381507917519786,1,1
3473-XIIIT,1,0.8380759219476521,1,1
4277-PVRAN,1,0.8378087780243264,1,1
2369-UAPKZ,1,0.8376144934517505,1,1
1077-HUUJM,0,0.8375468974422797,1,1
0388-EOPEX,1,0.8363691297044747,1,1
0746-JTRFU,1,0.8362903808469512,1,1
2674-MIAHT,0,0.8361370980440397,1,1
3177-LASXD,1,0.836074041832069,1,1
8999-BOHSE,1,0.8357455514263628,1,1
5382-SOYZL,0,0.8343579178131912,1,1
6502-HCJTI,1,0.8334297674752684,1,1
5442-BHQNG,0,0.8332075575790134,1,1
9494-MRNYX,0,0.8319611936372291,1,1
3797-FKOGQ,0,0.8312951348355294,1,1
9685-WKZGT,1,0.8299288512825059,1,1
4369-HTUIF,1,0.82929400800403,1,1
4439-JMPMT,1,0.8291007821599136,1,1
4759-TRPLW,1,0.82872661995067,1,1
3855-ONCAR,0,0.8286090176922811,1,1
4480-QQRHC,0,0.8282673852620778,1,1
6892-XPFPU,1,0.8278961455219059,1,1
9360-OMDZZ,0,0.8271659250279997,1,1
4815-GBTCD,0,0.8265168241737825,1,1
4059-IIEBK,0,0.8264084980167403,1,1
4763-PGDPO,1,0.8235989029162765,1,1
8481-YYXWG,1,0.8227368115301629,1,1
7029-RPUAV,1,0.8225126601077141,1,1
5583-SXDAG,1,0.8219244783747356,1,1
8922-LIEGH,1,0.8203971760166489,1,1
7318-EIVKO,0,0.8195976922480238,1,1
0258-NOKBL,0,0.8189687684086555,1,1
5712-PTIWW,1,0.8178860112962454,1,1
0616-ATFGB,1,0.8171364014061214,1,1
8617-ENBDS,0,0.816043295103405,1,1
9444-JTXHZ,1,0.8155431719134397,1,1
5931-FLJJF,1,0.8153093827399506,1,1
9894-EZEWG,1,0.8145379432081391,1,1
2740-TVLFN,0,0.814393882338029,1,1
3376-BMGFE,1,0.8137680641686881,1,1
8313-NDOIA,0,0.8127609867114161,1,1
4598-XLKNJ,1,0.8124355855832472,1,1
7881-EVUAD,1,0.811862141682773,1,1
1010-DIAUQ,1,0.811858127018397,1,1
8778-LMWTJ,0,0.8106196152945436,1,1
1513-XNPPH,1,0.8100325401650681,1,1
0727-IWKVK,1,0.8087792345630366,1,1
3538-WZPHD,1,0.8081312869394865,1,1
3801-HMYNL,1,0.8077917871070741,1,1
9912-GVSEQ,1,0.8075091942448803,1,1
2079-FBMZK,1,0.8053173603236502,1,1
4039-HEUNW,1,0.804695300445124,1,1
6116-RFVHN,0,0.8043176828873744,1,1
3063-QFSZL,1,0.8039458934000002,1,1
8010-EZLOU,1,0.8030679673197851,1,1
3951-NJCVI,0,0.802805033840679,1,1
8676-TRMJS,1,0.8027498503000372,1,1
4283-FUTGF,1,0.8025818352467009,1,1
4298-OYIFC,0,0.8024346333424807,1,1
0139-IVFJG,0,0.8006069468646619,1,1
6393-WRYZE,1,0.7994685850949583,1,1
4195-NZGTA,0,0.7992615078104354,1,1
0958-YHXGP,0,0.7988312284876949,1,1
8709-KRDVL,0,0.7976285024851172,1,1
3627-FCRDW,1,0.7975422667311293,1,1
1268-ASBGA,1,0.7962410663820375,1,1
3966-HRMZA,0,0.7958648640310795,1,1
4236-UJPWO,0,0.7942789280645876,1,1
6652-YFFJO,0,0.7939860001363588,1,1
2080-CAZNM,0,0.7939758722251613,1,1
5501-TVMGM,0,0.7938148962455731,1,1
0480-BIXDE,0,0.7926963711526094,1,1
6778-YSNIH,0,0.7909361752991583,1,1
1212-GLHMD,0,0.7904378142982441,1,1
7952-OBOYL,0,0.7900739839776972,1,1
6235-VDHOM,1,0.7887701670800992,1,1
6032-IGALN,1,0.7883569177670617,1,1
3088-LHEFH,0,0.78731136416633,1,1
5215-LNLDJ,0,0.7864217614195863,1,1
6821-BUXUX,1,0.7854518029084709,1,1
4971-PUYQO,1,0.7846451339463786,1,1
6458-CYIDZ,0,0.7842283524577315,1,1
2860-RANUS,1,0.7833723194380374,1,1
5842-POCOP,1,0.7829697051526666,1,1
9851-KIELU,1,0.7828568841057638,1,1
3317-VLGQT,0,0.7814296803740926,1,1
7056-IMHCC,1,0.7812255755197538,1,1
2696-NARTR,1,0.7793019709179204,1,1
7892-POOKP,1,0.7787680262311696,1,1
4009-ALQFH,1,0.7780055722375578,1,1
5228-EXCET,1,0.7777481082759669,1,1
9992-RRAMN,1,0.7772737071594508,1,1
5143-EGQFK,1,0.7761341678707396,1,1
6242-MBHPK,0,0.7760973569528049,1,1
0027-KWYKW,0,0.7756844967496811,1,1
0524-IAVZO,1,0.774783422710787,1,1
8634-MPHTR,1,0.7730508601987367,1,1
9490-DFPMD,1,0.7730024824069508,1,1
5960-MVTUK,0,0.7728446314645915,1,1
6637-KYRCV,0,0.7728330401909712,1,1
5599-HVLTW,0,0.7703908897023694,1,1
2656-FMOKZ,1,0.7701820599966667,1,1
9190-MFJLN,1,0.7696820581806177,1,1
7020-OZKXZ,0,0.7694926501196928,1,1
6088-BXMRG,0,0.7694292449054586,1,1
6032-KRXXO,1,0.76907438352229,1,1
6833-JMZYP,0,0.7688444571629768,1,1
5385-SUIRI,1,0.7680100909391537,1,1
9054-FOWNV,0,0.7678600117833317,1,1
6048-QBXKL,0,0.7674722597141586,1,1
6103-BOCOU,0,0.7658410613960895,1,1
0023-XUOPT,1,0.7656190113635203,1,1
9560-ARGQJ,1,0.7655643119487824,1,1
8705-WZCYL,0,0.7639046228601841,1,1
7315-WYOAW,0,0.7605831285435003,1,1
9129-UXERG,0,0.7604205210282469,1,1
2739-CACDQ,0,0.7592747687782746,1,1
6319-IEJWJ,1,0.7589460657339041,1,1
5647-FXOTP,0,0.7576109526775121,1,1
8640-SDGKB,1,0.7569072766997398,1,1
0133-BMFZO,1,0.7566761241905625,1,1
7129-ACFOG,0,0.756308976882148,1,1
1264-BYWMS,1,0.7557291650500058,1,1
5019-GQVCR,0,0.7556584580425132,1,1
1746-TGTWV,0,0.7555363202823175,1,1
4680-KUTAJ,0,0.7539475598788727,1,1
5947-SGKCL,0,0.7520366472585348,1,1
2025-JKFWI,1,0.7518717351216345,1,1
9752-ZNQUT,0,0.7496959260496973,1,1
5569-OUICF,1,0.7492068827163796,1,1
3798-EPWRR,0,0.7487430375499801,1,1
9947-OTFQU,1,0.7478364237862744,1,1
7339-POGZN,0,0.7462047540521801,1,1
3002-WQZWT,0,0.7451891012782008,1,1
9506-UXUSK,0,0.7450624131251451,1,1
8854-CCVSQ,1,0.7450199612075268,1,1
1035-IPQPU,0,0.7410423988947622,1,1
1976-CFOCS,1,0.7409002163345553,1,1
8080-DDEMJ,1,0.7407201518036699,1,1
4706-DGAHW,0,0.7404705880315864,1,1
4361-JEIVL,1,0.7388060794816451,1,1
0224-HJAPT,1,0.7345162740919207,1,1
6464-KEXXH,0,0.7341614453977692,1,1
3969-GYXEL,0,0.7338682723809655,1,1
2603-HVKCG,0,0.7336967191546319,1,1
8695-ARGXZ,0,0.7334041447960548,1,1
0114-PEGZZ,0,0.7322031592845288,1,1
6543-CPZMK,1,0.7317832524132936,1,1
8066-POXGX,1,0.7293179465638219,1,1
0015-UOCOJ,0,0.7276938807757508,1,1
6907-FLBER,0,0.7273591577097862,1,1
9895-VFOXH,0,0.7257901059162265,1,1
4816-LXZYW,1,0.7253135895476082,1,1
4583-PARNH,0,0.7243015541016056,1,1
3791-LGQCY,1,0.7239817810641432,1,1
9866-QEVEE,1,0.7237334948253673,1,1
1436-ZMJAN,0,0.7234584955319263,1,1
1769-GRUIK,0,0.7215351572117061,1,1
9552-TGUZV,0,0.7214718982778082,1,1
2528-HFYZX,1,0.719773296449265,1,1
7422-WNBTY,0,0.7194519728279806,1,1
5630-IXDXV,0,0.7179004832778714,1,1
2582-FFFZR,0,0.716410736041083,1,1
4183-MYFRB,0,0.7140032049229186,1,1
5515-AKOAJ,1,0.7130876972085081,1,1
5439-WIKXB,0,0.7127517880760101,1,1
6377-WHAOX,0,0.7125085141515122,1,1
9904-EHEVJ,0,0.712480319071242,1,1
8565-CLBZW,1,0.7124628821720637,1,1
0354-WYROK,1,0.7113774887884171,1,1
8844-TONUD,1,0.7104994703979148,1,1
5895-QSXOD,0,0.7103211710309947,1,1
5153-RTHKF,0,0.709267571634792,1,1
3315-TOTBP,1,0.7092311260185746,1,1
7421-ZLUPA,0,0.7091073164427345,1,1
5119-KEPFY,0,0.7088046757041636,1,1
5896-NPFWW,1,0.7067943965283562,1,1
1536-HBSWP,0,0.7039343502862278,1,1
5626-MGTUK,0,0.7039212845837874,1,1
7240-FQLHE,1,0.7025300435816603,1,1
2277-DJJDL,0,0.7023696952255851,1,1
1728-BQDMA,0,0.7015786996041214,1,1
6522-YRBXD,0,0.7002099233855461,1,1
6481-ESCNL,0,0.6996836411115438,1,1
0952-KMEEH,1,0.6991620318025582,1,1
9053-EJUNL,0,0.6976615607864011,1,1
7979-CORPM,1,0.6973907220854014,1,1
1942-OQFRW,0,0.6971627781359512,1,1
5087-SUURX,1,0.6970078151527397,1,1
9214-EKVXR,0,0.6964084838709196,1,1
5650-YLIBA,0,0.6962817850470712,1,1
7978-DKUQH,0,0.6953939818799648,1,1
6595-COKXZ,1,0.6951711504912225,1,1
6402-EJMWF,0,0.694959470436316,1,1
6317-YPKDH,1,0.6939102178558445,1,1
5047-LHVLY,1,0.6928414391083267,1,1
7065-YUNRY,1,0.6928262625204437,1,1
2275-RBYQS,0,0.6925497339468404,1,1
4391-RESHN,1,0.6923490845699743,1,1
7359-PTSXY,1,0.692341785103627,1,1
3716-UVSPD,0,0.6918716934101865,1,1
8645-KWHJO,0,0.6906251901320278,1,1
0280-XJGEX,1,0.6900885587977403,1,1
2718-GAXQD,1,0.6898725724087462,1,1
4248-QPAVC,1,0.6894259091678926,1,1
2372-HWUHI,1,0.6880284063741069,1,1
1767-TGTKO,0,0.6869224071314138,1,1
6486-LHTMA,0,0.6868597748684142,1,1
5204-QZXPU,1,0.6852583586144935,1,1
1343-EHPYB,1,0.6846608114057678,1,1
6259-WJQLC,0,0.6846131844227198,1,1
3278-FSIXX,0,0.684496537353349,1,1
3703-VAVCL,1,0.6839295631309076,1,1
5351-QESIO,0,0.6838064383854171,1,1
5365-LLFYV,0,0.6837687337401677,1,1
6218-KNUBD,0,0.6833514309444154,1,1
6542-LWGXJ,0,0.6831970207469118,1,1
7825-ECJRF,1,0.6820634776976305,1,1
5998-VVEJY,1,0.682049872726379,1,1
9940-HPQPG,1,0.6815804112437049,1,1
3370-GQEAL,0,0.6797380256087708,1,1
0682-USIXD,0,0.6796145663179266,1,1
6180-YBIQI,0,0.6782874575105947,1,1
3566-HJGPK,0,0.6781110110830793,1,1
9117-SHLZX,1,0.6776855384388659,1,1
4013-TLDHQ,1,0.674613773699196,1,1
9667-TKTVZ,0,0.6744528342015922,1,1
8519-QJGJD,1,0.6738838537318856,1,1
4879-GZLFH,0,0.6738599708380295,1,1
6689-KXGBO,1,0.6728016496403922,1,1
5129-JLPIS,0,0.6725021588025061,1,1
0531-ZZJWQ,0,0.6716444231341042,1,1
5498-TXHLF,1,0.6696371991687003,1,1
5968-VXZLG,0,0.6690292719739664,1,1
2911-WDXMV,0,0.6656755810095147,1,1
4658-HCOHW,1,0.6656377006239895,1,1
6789-HJBWG,0,0.6653260740502679,1,1
7743-EXURX,1,0.6649023615591266,1,1
4918-QLLIW,1,0.6635461266315145,1,1
3082-VQXNH,0,0.6604173259107551,1,1
4226-KKDON,0,0.6580716306791283,1,1
2207-NHRJK,1,0.6576011973864982,1,1
4007-NHVHI,0,0.6573387090294586,1,1
6240-EURKS,1,0.6569882072917028,1,1
9174-FKWZE,1,0.6560905780144455,1,1
6142-VSJQO,1,0.6556009080725489,1,1
2931-FSOHN,0,0.6553072708190664,1,1
7207-RMRDB,1,0.6549214340119984,1,1
9631-XEYKE,0,0.6549007415525646,1,1
5027-XWQHA,1,0.654364348739633,1,1
3331-HQDTW,1,0.6532521794739635,1,1
2523-EWWZL,0,0.6526068347048184,1,1
5371-VYLSX,0,0.6505656789454413,1,1
4430-UZIPO,1,0.65037053800107,1,1
2921-XWDJH,0,0.6491961241321277,1,1
6692-YQHXC,0,0.6489237418108752,1,1
9526-JAWYF,1,0.6473844429233877,1,1
7739-LAXOG,1,0.6467546576093474,1,1
1728-CXQBE,0,0.6462484096268879,1,1
7982-VCELR,0,0.6458478942579926,1,1
9462-MJUAW,1,0.6449458570365855,1,1
4208-UFFGW,1,0.6443783969935374,1,1
1845-ZLLIG,0,0.6439344771247211,1,1
6656-JWRQX,0,0.6425869463012858,1,1
8123-QBNAZ,0,0.6412478233796155,1,1
8614-VGMMV,1,0.6407740834095269,1,1
2360-RDGRO,0,0.6404988792093537,1,1
2683-BPJSO,1,0.6396922266175024,1,1
9089-UOWJG,0,0.6368658871907429,1,1
3804-RVTGV,1,0.6365084417441085,1,1
6946-LMSQS,1,0.6352718074678693,1,1
8775-CEBBJ,1,0.6318204879591295,1,1
2615-YVMYX,0,0.6317225242137817,1,1
4154-AQUGT,1,0.6310543394424554,1,1
7075-BNDVQ,0,0.6305100758705706,1,1
7395-IGJOS,1,0.6302260020983086,1,1
6961-VCPMC,1,0.6293385642034834,1,1
0829-XXPLX,0,0.6281682593755792,1,1
0774-IFUVM,0,0.627789583148302,1,1
6304-IJFSQ,1,0.6271318302499194,1,1
5016-ETTFF,1,0.6269437208986081,1,1
9261-WDCAF,0,0.6266174224791972,1,1
1205-WNWPJ,1,0.6261449509203825,1,1
5016-IBERQ,0,0.6260235793801707,1,1
0867-MKZVY,1,0.6258668281027452,1,1
4821-SJHJV,0,0.624752428942412,1,1
3351-NGXYI,0,0.6241918136479435,1,1
6599-RCLCJ,1,0.6241879084487935,1,1
0468-YRPXN,0,0.6232690690826617,1,1
0274-JKUJR,0,0.6228668946387649,1,1
2219-MVUSO,1,0.6227370951256186,1,1
9921-QFQUL,0,0.6217274487956259,1,1
2884-GBPFB,1,0.6216852976595297,1,1
4439-YRNVD,0,0.621199066249371,1,1
0577-WHMEV,0,0.6209499867847343,1,1
1216-JWVUX,0,0.6209151249802982,1,1
9780-FKVVF,0,0.6194928477450239,1,1
1427-VERSM,0,0.6190196373397404,1,1
0322-YINQP,1,0.6186537134890236,1,1
3085-QUOZK,1,0.6177778372347167,1,1
5057-LCOUI,1,0.6172987535757024,1,1
3197-ARFOY,0,0.6166052011666407,1,1
3211-ILJTT,1,0.6161889704539001,1,1
5590-YRFJT,1,0.6150716945500769,1,1
1310-QRITU,0,0.6143350497314803,1,1
0637-UBJRP,1,0.6125207869219063,1,1
6143-JQKEA,0,0.6118857001691147,1,1
3589-PPVKW,0,0.6116851329974136,1,1
9873-MNDKV,0,0.6098406363352611,1,1
4176-FXYBO,0,0.6094073398964924,1,1
3669-OYSJI,1,0.6073352912668477,1,1
4010-YLMVT,0,0.604780736967717,1,1
4607-CHPCA,1,0.6035148623189602,1,1
2144-BFDSO,0,0.6027974467705733,1,1
9659-QEQSY,0,0.6010417165997594,1,1
3500-RMZLT,1,0.60028095089413,1,1
9448-REEVD,1,0.5994624493840087,1,1
4522-AKYLR,0,0.5985353007008293,1,1
4958-GZWIY,1,0.5982598640706916,1,1
1930-WNXSB,0,0.5973273921301425,1,1
3207-OYBWH,1,0.596704050312699,1,1
4526-ZJJTM,0,0.5957051890048523,1,1
7593-XFKDI,1,0.594978603535774,1,1
6022-KOUQO,0,0.5945324772888713,1,1
6917-YACBP,0,0.5942318298184723,1,1
5339-TJFEK,0,0.5927265668435175,1,1
9700-ISPUP,0,0.5925401644359355,1,1
1215-VFYVK,0,0.5921083311772614,1,1
9776-OJUZI,0,0.5906037091629518,1,1
7599-FKVXZ,1,0.5904834420680579,1,1
2842-JTCCU,1,0.5888372508713308,1,1
7272-QDCKA,0,0.588116736473694,1,1
2604-IJPDU,0,0.5877047982243271,1,1
3932-IJWDZ,0,0.5875853962026361,1,1
2178-PMGCJ,0,0.5857267020068386,1,1
0107-WESLM,1,0.585533104326331,1,1
5133-VRSAB,0,0.5849218101436536,1,1
0410-IPFTY,0,0.5836704917963556,1,1
3452-SRFEG,0,0.5829528489149689,1,1
7950-XWOVN,0,0.5824259409167607,1,1
1575-KRZZE,0,0.5819965762564526,1,1
3838-OZURD,1,0.5818463383501238,1,1
5035-PGZXH,0,0.5818305782533605,1,1
9489-UTFKA,0,0.5817219003420907,1,1
6927-WTFIV,1,0.5812089360236932,1,1
8404-FYDIB,0,0.5798740445108232,1,1
3058-WQDRE,0,0.5796892857574153,1,1
8677-HDZEE,0,0.5791009473857223,1,1
8019-ENHXU,1,0.5774057646536302,1,1
5311-IHLEI,0,0.5759428650609837,1,1
3845-FXCYS,0,0.5759393313213461,1,1
8096-LOIST,0,0.5758622749570526,1,1
1763-WQFUK,0,0.5745862651060532,1,1
2037-XJFUP,1,0.5745422868504143,1,1
7905-NJMXS,0,0.5740416796177212,1,1
5071-FBJFS,0,0.5733842911380888,1,1
7733-UDMTP,0,0.5733814514577779,1,1
2378-HTWFW,0,0.5729034659198161,1,1
3132-TVFDZ,1,0.5724890873293511,1,1
2692-PFYTJ,0,0.5716653653914848,1,1
8033-VCZGH,0,0.5706979829244002,1,1
6353-BRMMA,0,0.5689887702851335,1,1
9822-WMWVG,0,0.5680381036786959,1,1
9761-XUJWD,0,0.5669371974881959,1,1
5780-INQIK,0,0.5665432070065547,1,1
4672-FOTSD,0,0.5656979496410397,1,1
2460-FPSYH,1,0.5645543344807558,1,1
3195-TQDZX,0,0.5643734403904161,1,1
6664-FPDAC,1,0.5642597792922982,1,1
6917-IAYHD,0,0.5620480912122503,1,1
5213-TWWJU,0,0.5590904513764055,1,1
4001-TSBTV,0,0.558244439221752,1,1
2108-YKQTY,1,0.5580588622853068,1,1
7580-UGXNC,1,0.5540334832194217,1,1
0691-IFBQW,1,0.5540317065151723,1,1
5527-ACHSO,0,0.5535035459245865,1,1
5575-TPIZQ,0,0.5513640571111532,1,1
3404-JNXAX,0,0.5496431761827795,1,1
7975-TZMLR,0,0.5481309956156853,1,1
0567-GGCAC,0,0.5467286182798493,1,1
0843-WTBXE,1,0.546347629546131,1,1
2267-FPIMA,0,0.5461461288981235,1,1
7351-MHQVU,0,0.5460882207902739,1,1
8705-DWKTI,0,0.5459030114650616,1,1
3604-WLABM,0,0.5447274292204674,1,1
1432-FPAXX,1,0.5421323154583255,1,1
7750-EYXWZ,0,0.5416777800632624,1,1
2189-UXTKY,1,0.5406710153213277,1,1
7426-WEIJX,0,0.5399262678318442,1,1
6807-SIWJI,0,0.5397297050322644,1,1
5828-DWPIL,0,0.5396881439608034,1,1
7446-YPODE,0,0.5380647898801391,1,1
5076-YVXCM,0,0.5380542611871999,1,1
3865-QBWSJ,0,0.537431751827045,1,1
3426-NIYYL,1,0.5357163012230748,1,1
4976-LNFVV,0,0.5342590603230335,1,1
4636-JGAAI,0,0.5340289742669483,1,1
1396-QWFBJ,1,0.5334174202663259,1,1
2302-ANTDP,1,0.531767092875384,1,1
7850-VWJUU,0,0.5317662543956967,1,1
6351-SCJKT,0,0.5296377545869155,1,1
6429-SHBCB,0,0.529085478750816,1,1
9373-WSLOY,0,0.5289444425592202,1,1
6818-WOBHJ,1,0.5284268947707238,1,1
8069-YQQAJ,0,0.5273194963331156,1,1
1596-BBVTG,1,0.5258541419626036,1,1
7587-AOVVU,0,0.5253108801320142,1,1
6559-RAKOZ,0,0.5250756666654592,1,1
1450-SKCVI,1,0.5249781840799811,1,1
6599-CEBNN,1,0.5245639648622443,1,1
8695-WDYEA,0,0.5244773701460115,1,1
4450-YOOHP,0,0.5237468595557618,1,1
7246-ZGQDF,0,0.5233943999361522,1,1
1685-VAYJF,0,0.5191674606364949,1,1
0643-OKLRP,1,0.5186208560247578,1,1
4391-LNRXK,0,0.5164771651446248,1,1
9912-OMZDS,0,0.5162315496070154,1,1
7486-KSRVI,1,0.5148823095474095,1,1
6578-KRMAW,0,0.5138501211577373,1,1
4088-YLDSU,1,0.5131811187616305,1,1
6483-OATDN,0,0.5131183325913187,1,1
4324-AHJKS,0,0.5130417392920452,1,1
1049-FYSYG,0,0.5128917300808351,1,1
2115-BFTIW,1,0.5121791827303952,1,1
2293-IJWPS,0,0.5118977616061507,1,1
2273-QCKXA,0,0.5104974409498589,1,1
1360-JYXKQ,0,0.5099595514084224,1,1
5243-SAOTC,0,0.5098150011079355,1,1
6362-QHAFM,0,0.5082950149292776,1,1
6234-PFPXL,0,0.5014157653495093,1,1
5287-QWLKY,1,0.500267357644426,1,1
6121-VZNQB,1,0.5002315766166412,1,1
9027-YFHQJ,0,0.499799628019028,0,1
3566-VVORZ,0,0.499576357918003,0,1
